Institute,Sector,Positive,Negative,Score,Final Score
ROC Flevoland,Sectorunit zakelijke dienstverlening en veiligheid,0.0,2.0,0.75,Positive
ROC Flevoland,"Sectorunit zorg, welzijn en sport",1.0,0.0,0.25,Negative
ROC van Twente,Sectorunit handel,0.0,1.0,0.5,Positive
ROC van Twente,"Sectorunit mobiliteit, transport, logistiek, maritiem",0.0,1.0,0.5,Positive
ROC van Twente,Sectorunit techniek en gebouwde omgeving,0.0,1.0,0.5,Positive
ROC van Twente,Sectorunit zakelijke dienstverlening en veiligheid,0.0,1.0,0.5,Positive
ROC van Twente,"Sectorunit zorg, welzijn en sport",1.0,2.0,0.5,Positive
ROVC Technische opleidingen B.V.,Sectorunit techniek en gebouwde omgeving,4.0,0.0,-0.5,Negative
Rijn IJssel,Sectorunit creatieve industrie en ICT,0.0,5.0,0.96875,Positive
Rijn IJssel,Sectorunit handel,0.0,1.0,0.5,Positive
Rijn IJssel,Sectorunit techniek en gebouwde omgeving,0.0,1.0,0.5,Positive
Rijn IJssel,"Sectorunit zorg, welzijn en sport",0.0,7.0,0.9921875,Positive
SBK Opleidingen B.V.,Sectorunit techniek en gebouwde omgeving,0.0,2.0,0.75,Positive
SOMA College,Sectorunit techniek en gebouwde omgeving,0.0,2.0,0.75,Positive
SVOZ Opleidingen in de Zorg,"Sectorunit zorg, welzijn en sport",0.0,1.0,0.5,Positive
Scalda,"Sectorunit voedsel, groen en gastvrijheid",0.0,1.0,0.5,Positive
Scalda,Sectorunit zakelijke dienstverlening en veiligheid,0.0,2.0,0.75,Positive
Scalda,"Sectorunit zorg, welzijn en sport",2.0,0.0,0.0,Negative
Scheepvaart en Transport College,"Sectorunit mobiliteit, transport, logistiek, maritiem",9.0,2.0,-1.5,Negative
Scheidegger Opleidingen Nederland B.V.,Sectorunit creatieve industrie en ICT,2.0,0.0,0.0,Negative
Scheidegger Opleidingen Nederland B.V.,"Sectorunit voedsel, groen en gastvrijheid",2.0,0.0,0.0,Negative
Scheidegger Opleidingen Nederland B.V.,"Sectorunit zorg, welzijn en sport",5.0,0.0,-0.75,Negative
De Rooi Pannen,Bovensectoraal,0.0,1.0,0.5,Positive
De Rooi Pannen,Sectorunit creatieve industrie en ICT,0.0,5.0,0.96875,Positive
De Rooi Pannen,Sectorunit handel,0.0,2.0,0.75,Positive
